project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users
417,Generic,https://github.com/felixge/node-ar-drone.git,false,false,false,1718,1718,551,42,,,,446,149,JavaScript,229814033,true,true,true,false,1342896620,1645500350,1572710690,"master","MIT License","http://nodecopter.com/","A node.js client for controlling Parrot AR Drone 2.0 quad-copters.",4,322,28,28,29
418,Generic,https://github.com/felixwieland/inez.git,false,false,false,0,0,5677,25,,,,0,2,JavaScript,79307613,true,true,true,true,1566337825,1567599483,1644693744,"master","","https://felixwieland.github.io/INEZ/api/","INEZ - Der INtelligente EinkaufsZettel by EDEKA DIGITAL",33,141,6,5,7
419,Generic,https://github.com/firebase/codelab-friendlychat-web.git,false,false,false,1573,1573,4797,19,,,,1593,151,JavaScript,199176438,true,true,true,false,1461690839,1645569111,1645144391,"main","Apache License 2.0","https://firebase.google.com","The source for the Firebase codelab for building a cross-platform chat app",18,831,49,27,51
420,Generic,https://github.com/firstake/local-barbershop.git,false,false,false,0,0,7016,6,,,,1,1,JavaScript,70648519,true,true,true,false,1586111576,1642199813,1645283206,"master","MIT License","","Barbershop application built with React, Express.js and MongoDB",9,245,2,2,3
421,Generic,https://github.com/1mid/bot-user-interface.git,false,false,false,0,0,174490,22,,,,0,1,JavaScript,95842687,true,true,true,false,1571734136,1641046267,1645189862,"master","GNU General Public License v3.0","","",23,1962,12,11,13
422,Generic,https://github.com/fjarik/zoliky.git,false,true,false,1,1,43802,1,,,,0,2,JavaScript,74242533,true,true,false,false,1560677410,1635074039,1634919945,"master","GNU General Public License v3.0","","Maturitní projekt - Žolíky",4,306,3,2,4
423,Generic,https://github.com/flailingmaster/commitchallenge.git,false,false,false,0,0,1239,0,,,,0,1,JavaScript,67325238,true,true,true,false,1465966682,1474338466,1478658607,"master","","","Was challenged to doodle more.",1,185,5,5,5
424,Generic,https://github.com/flask-debugtoolbar/flask-debugtoolbar.git,false,false,false,824,824,1065,43,,,,125,14,JavaScript,300830563,true,true,false,false,1324065784,1644471386,1636050821,"master","Other","https://flask-debugtoolbar.rtfd.io/","A toolbar overlay for debugging Flask applications",2,260,38,27,40
425,Generic,https://github.com/flchy/flchy.github.io.git,false,false,false,0,0,14453,0,,,,1,1,JavaScript,148486507,true,true,true,true,1571752902,1637902249,1637902246,"master","MIT License","","",2,440,2,3,3
426,Generic,https://github.com/flixflix/mymoney.git,false,false,false,0,0,74162,0,,,,0,0,JavaScript,38029385,true,true,true,false,1562536847,1574727053,1600483813,"master","","","Experian Demo Thing",2,234,2,2,3
427,Generic,https://github.com/florian-hub/react-train.git,false,false,false,0,0,4679,10,,,,0,0,JavaScript,153374229,true,true,true,false,1564167981,1564168007,1644688073,"master","Apache License 2.0","","",38,225,13,8,14
428,Generic,https://github.com/flyingbig/3dcommunity.git,false,false,false,1,1,78463,15,,,,1,1,JavaScript,78303442,true,true,true,false,1566871493,1642747395,1645174643,"master","","","3dcommunity for three",16,175,3,3,4
429,Generic,https://github.com/foliojs/pdfkit.git,false,false,false,7864,7864,27798,344,,,,973,167,JavaScript,333028289,true,true,true,true,1310397149,1645618978,1643294910,"master","MIT License","http://pdfkit.org/","A JavaScript PDF generation library for Node and the browser",8,755,90,61,92
430,Generic,https://github.com/foodin/foodin.github.io.git,false,false,false,0,0,10923,0,,,,1,0,JavaScript,55361384,true,true,true,true,1560555115,1615916903,1615916945,"codebase","","","",3,105,3,4,4
431,Generic,https://github.com/foraliving/foraliving_v0.git,false,false,false,3,3,5961,0,,,,3,5,JavaScript,162963381,true,true,true,false,1468538533,1478104684,1477492318,"master","Other","","This repo will house the website for the ""For a Living"" project",1,601,46,45,47
432,Generic,https://github.com/forfansubs/front-end.git,false,false,false,6,6,10990,21,,,,4,2,JavaScript,61030817,true,true,false,false,1566028339,1636915337,1621623737,"master","MIT License","https://forfansubs.github.io/","Front-end React repo for ForFansubs project.",4,172,4,3,5
433,Generic,https://github.com/forstalabs/forsta-message-vault.git,false,false,false,6,6,3394,5,,,,6,5,JavaScript,83230097,true,true,true,false,1517679140,1617727968,1594094268,"master","GNU General Public License v3.0","","Forsta Message Vault",4,283,7,5,8
434,Generic,https://github.com/fossasia/pslab-desktop.git,false,false,false,1725,1725,203174,35,,,,374,24,JavaScript,168413439,true,true,false,true,1465663401,1645528667,1634076842,"development","GNU General Public License v3.0","","PSLab Desktop Application https://pslab.io",5,726,36,18,38
435,Generic,https://github.com/fourstar04/gatsby-starter-netlify-cms.git,false,false,false,1,1,14406,1,,,,0,1,JavaScript,136159391,true,true,true,false,1571357342,1591104988,1644522392,"master","MIT License","","",2,496,46,24,47
436,Generic,https://github.com/francelabs/datafari.git,false,false,false,57,57,1471287,0,,,,26,16,JavaScript,261088693,true,true,false,false,1404865411,1642598908,1645450954,"master","Apache License 2.0","https://www.datafari.com","Open Source, Distributed, Big Data Enterprise Search Engine",21,2028,31,28,32
437,Generic,https://github.com/fredsantos101/biggeo.git,false,false,false,0,0,108967,10,,,,0,1,JavaScript,75635173,true,true,true,false,1553031387,1575319798,1628666509,"master","","","",7,111,2,2,3
438,Generic,https://github.com/freecodecamp/freecodecamp.git,false,false,false,341191,341191,297836,157,,,,28043,8463,JavaScript,261258348,true,true,false,true,1419443359,1645622897,1645621801,"main","BSD 3-Clause ""New"" or ""Revised"" License","https://contribute.freecodecamp.org","freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.",5,29905,4758,753,4782
439,Generic,https://github.com/freecodecamp/freecodecamp.git,false,false,false,341191,341191,297836,157,,,,28043,8463,JavaScript,261258348,true,true,false,true,1419443359,1645622897,1645621801,"main","BSD 3-Clause ""New"" or ""Revised"" License","https://contribute.freecodecamp.org","freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.",5,29905,4758,753,4782
440,Generic,https://github.com/fregante/ghosttext.git,false,false,false,2642,2642,5789,19,,,,98,35,JavaScript,237854571,true,true,false,true,1394139392,1645519639,1644804666,"main","MIT License","https://GhostText.fregante.com","👻 Use your text editor to write in your browser. Everything you type in the editor will be instantly updated in the browser (and vice versa).",3,276,23,10,24
441,Generic,https://github.com/frodofarhani/react-boilerplate.git,false,false,false,0,0,5169,4,,,,0,1,JavaScript,217954210,true,true,true,false,1566846492,1566846673,1642224127,"master","MIT License","","",9,1608,288,108,289
442,Generic,https://github.com/frodofarhani/react-starter-kit.git,false,false,false,0,0,3242,19,,,,0,1,JavaScript,242454125,true,true,true,false,1566846401,1566846500,1644694964,"master","MIT License","","",30,1306,174,107,175
443,Generic,https://github.com/frontdevtest/coursera.git,false,false,false,0,0,31520,0,,,,0,1,JavaScript,123416842,true,true,true,true,1588764075,1588764937,1588764931,"master","","","",3,155,21,15,22
444,Generic,https://github.com/fsa-2001-chi-dill/graced-pickles.git,false,false,false,0,0,4074,31,,,,0,1,JavaScript,157715659,true,true,true,false,1583186764,1602294491,1644721441,"master","MIT License","http://gracedpickles.com/","e-commerce website for pickles (Grace Shopper group project at Fullstack Academy)",43,419,32,17,33
445,Generic,https://github.com/fsvaos/vaos.git,false,false,false,44,44,32721,29,,,,19,24,JavaScript,195116625,true,true,true,false,1485164313,1630308391,1643005554,"2.0-master","GNU General Public License v3.0","http://www.fsvaos.net","The Laravel (Legacy) Derivative of VAOS",10,568,13,11,15
446,Generic,https://github.com/fuadguluzade/forum-app-project2.git,false,false,false,1,1,840,8,,,,0,1,JavaScript,59114130,true,true,true,false,1571430117,1585956777,1630544252,"master","MIT License","https://forumapp-fuad-weston-pengwei.herokuapp.com","Search for news and leave the comments",9,127,6,4,7
447,Generic,https://github.com/fusionbox/django-widgy.git,false,false,false,328,328,10031,66,,,,59,23,JavaScript,293252204,true,true,false,false,1357680104,1643709940,1636661205,"master","Other","http://wid.gy","A CMS framework for Django built on a heterogenous tree editor.",84,1940,32,32,33
448,Generic,https://github.com/g1y/crime-map.git,false,false,false,0,0,1630,38,,,,1,2,JavaScript,142345407,true,true,true,false,1502870272,1625114187,1645215625,"master","","https://crime-map.g1y.io/","View a map of crime in San Luis Obispo",29,199,4,4,5
