url,locs
"https://github.com/beeboss/pesten.git",17863
"https://github.com/bellom/todo-list.git",5596
"https://github.com/ben-ghirardani/football-yes.git",18661
"https://github.com/benlansdell/compneurointro.git",230997
"https://github.com/beresoto/e-commerce.git",10936
"https://github.com/better-reads/front-end.git",14644
"https://github.com/beyondcoin-project/beyondcoin-explorer.git",77487
"https://github.com/bhfelicia/annotation-app.git",14507
"https://github.com/bhfelicia/stackathon.git",11960
"https://github.com/bidouilleurslibristes/artefact.git",55537
"https://github.com/bisenanju/crewcharge.git",9516
"https://github.com/bitfinance-co/dex-app.git",33886
"https://github.com/bitcoin-green/bitcoin-green-lib.git",46526
"https://github.com/bitwired/apidocs.git",13362
"https://github.com/blacklen/fungag.git",17815
"https://github.com/vuesomedev/todomvc-vue-composition-api.git",17135
"https://github.com/blakegeist/next-firebase-boiler.git",33608
"https://github.com/blakeing/biscardi.git",25368
"https://github.com/blakio/dashboard.git",100059
"https://github.com/blee0105/react-pps.git",17800
"https://github.com/bogacsabuncu/finn-moji.git",25628
"https://github.com/bokeefe/commune-fun.git",18004
"https://github.com/botix/node-ci.git",18629
"https://github.com/brainchild13/project3-property-maintenance.git",17188
"https://github.com/bravetechnologycoop/bravebuttons.git",17669
"https://github.com/breathehr/quarterly_meeting.git",23508
"https://github.com/bridgetklingler/jcp_payroll.git",10036
"https://github.com/britstarr/gatsby-starter-netlify-cms.git",2008
"https://github.com/broadinstitute/exome-results-browsers.git",8401
"https://github.com/brodybits/cordova-sqlite-spatialite-evplus-ext-common-free-unstable-0xx.git",28858
"https://github.com/buddhathechef/jul2019.git",16216
"https://github.com/build-weekwmyplants/front-end.git",15604
"https://github.com/burt23/ipfs.git",34380
"https://github.com/bw-airbnbprice3/front-end.git",1443
"https://github.com/bw-bucket-list/front-end.git",15709
"https://github.com/bw-wedding-portfolio/fe.git",14657
"https://github.com/c11g/daily-study.git",5757
"https://github.com/bradleyball/letschat.git",14835
"https://github.com/campedelliluiz/advanced-react.git",59876
"https://github.com/canyara/xwalla.git",126534
"https://github.com/captainrdubb/means.git",17684
"https://github.com/carmensantoro/pomodo.git",15063
"https://github.com/cartometricsteam/activa.git",56969
